	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#cieg	0.07245674716349482	0.002198327359617682	0.5535714285714286	2181.6974776488405	0.05577256777950159	8	800	3	0.16004916587889959	minor	El ciego de Gondar.	0.002293906810035842	person	1554	6	2	29	15	other	M	3	0	0	0	0	1	0	0	0.25	6.869772998805256e-05	0.46875	bette013_Valle_DivinasPalabras	32
#muje	0.007170300338393406	0.0	0.3974358974358974	120.78951498804057	0.022969839164265662	3	300	3	0.036805711653346174	minor	Una mujer en preñez	0.0	person	136	0	1	4	23	other	F	3	0	0	0	0	1	0	0	0.09375	0.0	0.71875	bette013_Valle_DivinasPalabras	32
#migu	0.2080820371453515	0.10850059737156509	0.7209302325581395	7723.0328713555	0.20293402785789394	19	1900	2	0.30202991092038783	secondary	Miguelín El padronés	0.10724014336917564	person	2410	13	5	55	9	other	M	2	0	0	0	0	0	0	0	0.59375	0.003390643667861409	0.28125	bette013_Valle_DivinasPalabras	32
#beat	0.03357332314681945	0.0	0.5166666666666667	907.7207667536185	0.03404748707779786	5	500	3	0.10318143099844637	minor	Beaterío de viejas y mozas.	0.0	person	23	1	1	2	28	other	F	3	0	0	0	0	1	0	0	0.15625	0.0	0.875	bette013_Valle_DivinasPalabras	32
#grit	0.05540601398629108	0.0011495135688684075	0.5849056603773585	3490.1783941820145	0.059021316111450596	9	900	2	0.20285814257004867	minor	Final de gritos y aturujos moceriles	0.0011495135688684077	other	850	0	2	33	36	other	O	3	0	0	0	0	1	0	0	0.28125	3.5922299027137733e-05	1.125	bette013_Valle_DivinasPalabras	32
#marg	0.2837273682802672	0.22500853387950157	0.8157894736842105	10981.974911361984	0.29724059113482454	24	2400	2	0.360316130950389	primary	Mari-Gaila	0.2234434203789042	person	11734	75	13	240	6	lover	F	1	0	1	0	1	0	0	1	0.75	0.007031516683734424	0.1875	bette013_Valle_DivinasPalabras	32
#rapa	0.02383696700506027	0.0	0.3974358974358974	120.78951498804055	0.022969839164265975	3	300	3	0.036805711653346174	minor	Una rapaza	0.0	person	39	3	1	1	14	other	F	3	0	0	0	0	1	0	0	0.09375	0.0	0.4375	bette013_Valle_DivinasPalabras	32
#simo	0.06850290714653993	0.017132616487455198	0.6078431372549019	3644.4120072616943	0.09960309960179224	11	1100	2	0.20723968908564538	secondary	Simoniña	0.017329749103942655	person	3400	11	5	83	7	other	F	2	0	0	0	0	0	0	0	0.34375	0.0005353942652329749	0.21875	bette013_Valle_DivinasPalabras	32
#viej	0.08820956271057655	0.05225806451612903	0.5961538461538461	2515.616673521293	0.1147760977531617	10	1000	2	0.1719438923492614	minor	Una vieja en un ventano	0.0542652329749104	person	221	0	3	9	22	other	F	3	0	0	0	0	1	0	0	0.3125	0.0016330645161290321	0.6875	bette013_Valle_DivinasPalabras	32
#chal	0.03130590259105509	0.0	0.5081967213114754	673.209729562369	0.026518139005768732	4	400	3	0.08891632851552558	minor	Un chalán	0.0	person	31	2	1	1	10	other	M	3	0	0	0	0	1	0	0	0.125	0.0	0.3125	bette013_Valle_DivinasPalabras	32
#milo	0.05536219277176304	0.0011495135688684075	0.5849056603773585	3490.178394182015	0.05902131611145065	9	900	2	0.20285814257004867	minor	Milón de La Arnoya	0.0011495135688684077	person	233	1	2	10	31	other	M	3	0	0	0	0	1	0	0	0.28125	3.5922299027137733e-05	0.96875	bette013_Valle_DivinasPalabras	32
#pere	0.03761044418894129	0.0	0.5254237288135594	1471.089918739666	0.0362818719592636	6	600	3	0.13141108363050658	minor	Un peregrino	0.0	person	230	4	1	6	17	other	M	3	0	0	0	0	1	0	0	0.1875	0.0	0.53125	bette013_Valle_DivinasPalabras	32
#ludo	0.06564829760794966	0.0	0.5254237288135594	1427.6450510910424	0.03683317776103432	6	600	3	0.1295223036814723	minor	Ludovina la tabernera	0.0	person	675	10	1	16	26	other	F	3	0	0	0	0	1	0	0	0.1875	0.0	0.8125	bette013_Valle_DivinasPalabras	32
