	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#aten	0.27073147349247445	0.06349206349206349	0.7	9.477414247255842	0.23402769218127298	4	400	2	0.35463977889086573	minor	Atenais	0.06547619047619047	person	1147	0	2	15	6	other	M	3	0	0	0	0	1	0	0	0.5	0.007936507936507936	0.75	bette027_Valera_Asclepigenia	8
#proc	0.4543380308695237	0.26984126984126977	0.875	15.786333258500642	0.42092937261185764	6	600	2	0.4839715249813505	primary	Proclo	0.26785714285714285	person	16807	2	11	75	1	lover	M	1	0	1	0	1	0	0	1	0.75	0.03373015873015872	0.125	bette027_Valera_Asclepigenia	8
#crem	0.10583836640782285	0.0	0.6363636363636364	7.5663687138229125	0.12210855006368385	3	300	2	0.3159994691307948	secondary	Crematurgo	0.0	person	2005	0	3	13	5	antagonist	M	2	0	0	1	0	0	1	0	0.375	0.0	0.625	bette027_Valera_Asclepigenia	8
#mort	0.12815645671555947	0.0	0.6363636363636364	7.566368713822908	0.12210855006368379	3	300	2	0.3159994691307948	minor	Mortales y dioses	0.0	non-human	16	0	1	1	8	other	0	3	0	0	0	0	1	0	0	0.375	0.0	1.0	bette027_Valera_Asclepigenia	8
#sier	0.06810468794938168	0.0	0.5384615384615384	4.058720991587356	0.06499856197871734	2	200	3	0.20036597950879734	minor	Sierva	0.0	person	45	0	1	1	7	other	F	3	0	0	0	0	1	0	0	0.25	0.0	0.875	bette027_Valera_Asclepigenia	8
#ascl	0.4416834435816318	0.26984126984126977	0.875	15.786333258500648	0.4209293726118578	6	600	2	0.4839715249813505	primary	Asclepigenia	0.26785714285714285	person	7775	0	5	40	4	protagonist	F	1	1	0	0	1	0	0	0	0.75	0.03373015873015872	0.5	bette027_Valera_Asclepigenia	8
#mari	0.057597545777010845	0.0	0.5384615384615384	4.058720991587355	0.06499856197871726	2	200	3	0.20036597950879734	minor	Marino	0.0	person	4089	2	3	24	2	other	M	3	0	0	0	0	1	0	0	0.25	0.0	0.25	bette027_Valera_Asclepigenia	8
#eumo	0.23238423928674148	0.06349206349206349	0.7	9.477414247255844	0.23402769218127306	4	400	2	0.35463977889086573	secondary	Eumorfo	0.06547619047619047	person	1993	1	5	23	3	antagonist	M	2	0	0	1	0	0	1	0	0.5	0.007936507936507936	0.375	bette027_Valera_Asclepigenia	8
