	approximate_current_flow_betweenness_centrality	betweenness	closeness_centrality	communicability_centrality_exp	current_flow_betweenness_centrality	degree	degree-vs	eccentricity	eigenvector_centrality	importance	label	load_centrality	nature	pers_mes_characters	pers_mes_rss	pers_mes_scenes	pers_mes_sps	position	role	sex	importance-nr	is_protagonist	is_lover	is_antagonist	is_primary	is_minor	antagonist	lover	degree-rel	betweenness-rel	position-rel	work	total_characters
#paul	0.03606832116992669	0.0	0.6119402985074627	21683786.81395815	0.034089902820442886	15	1500	2	0.1538887977367336	minor	PAULA LA REINA	0.0	person	201	4	1	5	26	other	F	3	0	0	0	0	1	0	0	0.35714285714285715	0.0	0.6190476190476191	bette044_Valle_Romance	42
#oliv	0.03404977375565612	0.0	0.44086021505376344	1061065.8030680043	0.01957473420888056	5	500	3	0.034041164835803724	minor	Oliveros	0.0	person	436	14	1	14	40	other	M	3	0	0	0	0	1	0	0	0.11904761904761904	0.0	0.9523809523809523	bette044_Valle_Romance	42
#adeg	0.035892698670311765	0.0	0.6119402985074627	21557900.901510425	0.034245155765362176	15	1500	2	0.15344138549331282	minor	ADEGA la inocente	0.0	person	127	0	1	1	30	other	F	3	0	0	0	0	1	0	0	0.35714285714285715	0.0	0.7142857142857143	bette044_Valle_Romance	42
#fuso	0.033165259516722875	0.0018292682926829267	0.5125	1056788.262367578	0.037985527567412	5	500	3	0.033972884608722054	minor	FUSO NEGRO	0.0018292682926829267	person	4592	12	2	37	34	other	M	3	0	0	0	0	1	0	0	0.11904761904761904	4.3554006968641115e-05	0.8095238095238095	bette044_Valle_Romance	42
#monc	0.028232818196911976	0.0011498257839721254	0.5540540540540541	6312704.55957802	0.03302237634253824	11	1100	3	0.08303133434700107	minor	DOÑA MONCHA	0.0011498257839721252	person	1205	20	2	27	19	other	F	3	0	0	0	0	1	0	0	0.2619047619047619	2.7376804380288702e-05	0.4523809523809524	bette044_Valle_Romance	42
#patr	0.039616664156872046	0.007317073170731705	0.5694444444444444	8441282.714692397	0.05897751278700381	13	1300	3	0.09601528482106202	minor	ABELARDO	0.007317073170731705	person	667	17	2	14	14	other	M	3	0	0	0	0	1	0	0	0.30952380952380953	0.0001742160278745644	0.3333333333333333	bette044_Valle_Romance	42
#voz_	0.03203240455266474	0.0	0.6119402985074627	21557900.901510425	0.03424515576536221	15	1500	2	0.15344138549331282	minor	La Voz De Todos	0.0	person	79	0	2	2	47	other	O	3	0	0	0	0	1	0	0	0.35714285714285715	0.0	1.119047619047619	bette044_Valle_Romance	42
#otra	0.03293539377834904	0.0005792682926829268	0.5616438356164384	9829145.546382098	0.03368282723987125	12	1200	3	0.1036084360127147	minor	Otra Voz	0.0005792682926829269	non-human	598	0	2	12	44	other	O	3	0	0	0	0	1	0	0	0.2857142857142857	1.3792102206736353e-05	1.0476190476190477	bette044_Valle_Romance	42
#rapa	0.03338343103323628	0.0	0.5466666666666666	5252859.258632989	0.0282235938610325	10	1000	3	0.07574105737935088	minor	EL RAPAZ	0.0	person	50	4	1	1	18	other	M	3	0	0	0	0	1	0	0	0.23809523809523808	0.0	0.42857142857142855	bette044_Valle_Romance	42
#sabe	0.021064321727398944	0.0	0.5061728395061729	1016429.933063143	0.018345916612004406	4	400	3	0.03331788042394082	minor	DOÑA SABELITA	0.0	person	546	15	2	23	41	other	F	3	0	0	0	0	1	0	0	0.09523809523809523	0.0	0.9761904761904762	bette044_Valle_Romance	42
