	scene_1	scene_2	scene_3	scene_4	scene_5	scene_6	scene_7	scene_8	scene_9	scene_10	scene_11	scene_12	scene_13	scene_14	scene_15	scene_16	scene_17	scene_18	scene_19	scene_20	scene_21	scene_22	scene_23	scene_24	scene_25	scene_26	scene_27	scene_28	scene_29	scene_30	scene_31	scene_32	scene_33	scene_34	scene_35	scene_36
#fedr	36	14	10	32	1	10	7	5	9	8	8	12	21	6	0	0	14	0	0	1	13	1	16	0	0	0	0	0	0	0	0	0	0	0	0	0
#pedr	0	15	8	0	0	0	0	8	10	0	0	0	23	11	5	1	14	21	1	0	0	0	0	7	0	0	0	0	0	0	2	6	4	2	0	8
#hipo	0	0	17	33	0	0	0	0	0	0	6	13	0	9	4	0	0	0	0	0	0	0	0	0	0	0	7	0	3	0	0	5	0	2	3	9
#eust	37	0	0	0	0	0	0	0	0	8	4	0	0	0	0	0	0	0	0	0	0	0	15	1	1	4	7	0	3	8	1	0	4	0	3	5
#marc	0	0	0	0	0	0	7	8	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	7	0	0	0	0	0	9	0	0	0	0	0	0
#rosa	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0
