	id	label	description
0	#madr	Madre	
1	#nova	Novia	
2	#sueg	Suegra	
3	#muje	Mujer de Leonardo	
4	#cria	Criada	
5	#veci	Vecina	
6	#leon	Leonardo	
7	#novo	Novio	
8	#padr	Padre de la novia	
9	#luna	Luna	
10	#muer	Muerte (como Mendiga)	
11	#muc1		
12	#muc2		
13	#muc3		
14	#conv		
15	#len1		
16	#len2		
17	#len3		
18	#moz1		
19	#moz2		
20	#voce		
21	#mend		
22	#muj1		
23	#muj2		
24	#nina		
