	id	label	description
0	#tere	Teresa	Srta. Guerrero 
1	#rita	Rita	Srta. Valdivia 
2	#palm	Palmira 	Sr. Soriano 
3	#roqu	Roque	 SR. Perrín (Antonio) 
4	#fern	Fernando	 Sr. Díaz de Mendoza
5	#min1	Minero 1	Sr. Núñez 
6	#min2	Minero 2	 Sr. Casielles
7	#min3	Minero 3	 Sr. Torner
