	id	label	description
0	#rosi	Rosita	Doña Rosita es el protagonista, es el reflejo de la típica mujer solterona de la época
1	#ama	Ama	
2	#tia	Tía	
3	#man1	Manola 1ª	
4	#man2	Manola 2ª	
5	#man3	Manola 3ª	
6	#sol1	Soltera 1ª	
7	#sol2	Soltera 2ª	
8	#sol3	Soltera 3ª	
9	#madr	Madre de las Solteras	
10	#ayo1	Ayola 1ª	
11	#ayo2	Ayola 2ª	
12	#tio	Tío	
13	#cate	Catedrático de economía	
14	#mart	Don Martín	
15	#much	Muchacho	
16	#obre	Dos obreros	
17	#voz	Una voz	
