	act_1	act_2	act_3	act_4
#pepe	127	143	18	3
#perf	71	107	70	31
#rosa	75	21	0	26
#reme	33	26	47	8
#inoc	51	21	0	0
#juan	6	31	19	0
#caye	14	28	0	0
#jaci	9	19	10	0
#varg	0	0	32	0
#cris	11	0	19	0
#licu	20	0	9	0
#pinz	0	0	21	0
#paso	0	0	13	0
#libr	0	11	0	0
#este	0	0	10	0
#cabo	0	0	1	0
