	act_1	act_2	act_3	act_4	act_5
#elec	89	78	117	81	18
#maxi	36	19	147	37	31
#pant	55	22	16	91	24
#marq	76	35	37	25	25
#evar	28	96	0	36	25
#urba	34	50	0	15	8
#cues	60	44	0	0	0
#patr	7	13	0	15	0
#doro	0	0	0	0	29
#jose	16	8	0	0	0
#balb	0	12	0	5	0
#mari	0	0	11	0	0
#gil_	0	0	9	0	0
#oper	0	0	5	0	0
#eleu	0	0	0	0	2
