	act_1	act_2	act_3
#bern	75	56	63
#ponc	43	85	34
#mart	29	60	39
#adel	16	47	39
#amel	24	37	9
#angu	12	38	19
#magd	30	24	8
#cria	33	2	14
#prud	0	0	22
#jose	8	0	9
#mend	5	0	0
#muj1	5	0	0
#much	4	0	0
#muj2	3	0	0
#muj3	3	0	0
#muj4	1	0	0
