	act_1	act_2	act_3
#casa	66	85	40
#amar	13	74	60
#juan	68	40	28
#vale	43	45	15
#prod	14	22	38
#celc	15	20	29
#ever	28	16	14
#aten	0	38	15
#puli	14	13	19
#cefe	26	13	7
#eulo	21	8	10
#amil	17	12	10
#flor	1	8	9
#frai	1	0	0
#cast	0	0	0
#caye	0	0	0
