	act_1	act_2	act_3
#ange	123	124	77
#eufe	57	68	16
#joaq	28	24	33
#feli	22	0	52
#euse	21	23	3
#nico	4	15	15
#teod	7	22	0
#ramo	11	15	1
#mart	14	9	0
#pepe	6	10	0
#hima	0	0	7
#hime	0	0	7
