	act_1	act_2	act_3
#marg	41	128	71
#pedr	30	68	34
#luce	46	44	29
#tatu	47	15	54
#simo	0	43	40
#migu	20	31	4
#cieg	0	29	0
#peda	25	0	0
#rein	18	0	0
#tras	0	18	0
#veci	0	17	0
#ludo	0	16	0
#poca	14	0	0
#beni	0	0	14
#idio	7	6	0
#quin	0	0	12
#sere	0	8	4
#milo	0	0	10
#vend	0	9	0
#viej	1	7	1
#sold	0	7	0
#pere	0	6	0
#muje	0	4	0
#vent	0	1	0
#rapa	0	1	0
#chal	1	0	0
#sapo	1	0	0
#mar	0	0	0
#coim	0	0	0
#colo	0	0	0
