	act_1	act_2	act_3	act_4
#plac	79	134	136	181
#marq	0	92	68	32
#jose	0	75	69	43
#blan	47	44	49	35
#clau	41	18	32	49
#toma	0	12	18	48
#javi	51	6	14	5
#romu	0	57	0	0
#basi	0	0	0	50
#lesm	16	0	0	15
#anse	0	19	0	0
#deme	0	0	11	0
#pad1	0	6	0	0
#pad2	0	5	0	0
#cri1	0	0	0	0
#cri2	0	0	0	0
